book_ref,book_date,total_amount
03DEE7,2017-07-04 06:27:00+03,134400
03DEF8,2017-08-10 14:18:00+03,43000
03DF13,2017-07-18 19:37:00+03,58600
03DF7D,2017-08-06 11:16:00+03,131600
03E00E,2017-07-12 11:06:00+03,55800
3.00E+23,2017-08-12 17:40:00+03,52900
3.00E+27,2017-08-13 00:05:00+03,45200
03E04A,2017-07-07 09:33:00+03,199600
3.00E+61,2017-07-24 22:31:00+03,68400
3.00E+90,2017-08-10 12:43:00+03,55500
03E0B8,2017-07-28 15:23:00+03,14000
3.00E+143,2017-08-09 18:09:00+03,158100
03E19F,2017-07-28 15:22:00+03,64700
3.00E+249,2017-07-13 04:24:00+03,69600
03E2E8,2017-07-24 21:56:00+03,136200
03E2FB,2017-07-25 01:40:00+03,133100
03E355,2017-08-02 01:06:00+03,23200
03E356,2017-08-06 21:04:00+03,184300
03E3CD,2017-07-23 08:26:00+03,25000
03E3F1,2017-07-11 23:07:00+03,100700
03E4B5,2017-06-25 09:27:00+03,147700
03E504,2017-07-23 17:18:00+03,99200
03E51A,2017-07-20 08:23:00+03,59300
03E51E,2017-07-28 06:08:00+03,21400
03E56E,2017-07-30 10:13:00+03,56900
03E59C,2017-08-02 13:08:00+03,12600
03E5C5,2017-07-15 06:00:00+03,97900
03E5D0,2017-07-30 23:45:00+03,118600
03E643,2017-08-10 14:56:00+03,20000
03E64F,2017-08-05 09:00:00+03,58400
03E65D,2017-07-14 10:07:00+03,149400
03E717,2017-07-14 00:37:00+03,26000
03E79A,2017-08-09 18:02:00+03,64700
03E7BF,2017-06-28 12:59:00+03,27200
03E7D4,2017-07-20 15:42:00+03,46300
03E820,2017-07-06 11:02:00+03,25100
03E82E,2017-07-03 22:20:00+03,68800
03E831,2017-08-11 04:49:00+03,84100
03E842,2017-07-23 04:29:00+03,15200
03E86A,2017-07-19 01:33:00+03,6800
03E890,2017-07-09 11:03:00+03,40000
03E899,2017-07-16 00:08:00+03,30400
03E999,2017-07-28 03:31:00+03,58400
03E9D6,2017-07-21 03:55:00+03,23200
03EA59,2017-07-05 21:11:00+03,24000
03EA6C,2017-07-23 06:43:00+03,78400
03EA98,2017-07-31 13:14:00+03,7400
03EB3B,2017-07-07 21:36:00+03,6000
03EBA6,2017-08-02 00:47:00+03,168700
03EBC4,2017-07-02 22:50:00+03,25900
03EC2D,2017-07-29 06:00:00+03,153800
03EC56,2017-07-29 03:32:00+03,69900
03EC73,2017-07-16 18:09:00+03,84100
03EC74,2017-08-14 23:21:00+03,54100
03EC81,2017-07-08 14:33:00+03,147300
03EC95,2017-08-14 03:28:00+03,26700
03ECA3,2017-07-05 21:42:00+03,46000
03EDBE,2017-08-11 05:15:00+03,16400
03EDE4,2017-08-10 02:49:00+03,65600
03EDEA,2017-07-03 17:36:00+03,97700
03EDF5,2017-08-14 00:26:00+03,86800
03EE17,2017-08-08 21:21:00+03,23600
03EE38,2017-08-15 00:51:00+03,229900
03EE5F,2017-06-27 20:34:00+03,10800
03EEBB,2017-07-31 02:18:00+03,266300
03EEF2,2017-07-07 03:00:00+03,45200
03EF8B,2017-07-09 04:07:00+03,87400
03F048,2017-07-26 15:23:00+03,206000
03F05F,2017-08-08 12:26:00+03,26200
03F06D,2017-07-29 09:36:00+03,46000
03F0A3,2017-08-08 07:42:00+03,54500
03F0DD,2017-07-21 02:03:00+03,99200
03F0ED,2017-07-05 02:57:00+03,81600
03F18A,2017-07-07 07:32:00+03,146400
03F1BB,2017-08-04 02:47:00+03,204200
03F1F6,2017-07-22 16:11:00+03,24400
03F220,2017-07-25 14:34:00+03,32900
03F22F,2017-07-07 12:03:00+03,44000
03F29C,2017-07-27 00:01:00+03,28800
03F2A5,2017-07-02 01:33:00+03,6700
03F338,2017-08-14 23:59:00+03,32200
03F361,2017-07-22 11:27:00+03,149200
03F37A,2017-07-14 16:52:00+03,28000
03F407,2017-08-12 17:12:00+03,144400
03F424,2017-07-13 19:56:00+03,96600
03F431,2017-07-23 03:19:00+03,73600
03F43E,2017-08-09 20:12:00+03,57400
03F43F,2017-08-11 05:23:00+03,45200
03F4C2,2017-07-11 06:51:00+03,27200
03F585,2017-08-14 05:57:00+03,115600
03F58D,2017-07-25 03:50:00+03,31100
03F5C6,2017-07-06 13:46:00+03,65400
03F662,2017-08-13 09:08:00+03,46300
03F716,2017-07-03 03:15:00+03,25400
03F740,2017-07-14 21:44:00+03,32700
03F776,2017-07-05 02:03:00+03,50600
03F79E,2017-08-06 03:21:00+03,75000
03F7D8,2017-07-13 09:44:00+03,28000
03F7F8,2017-07-21 17:50:00+03,36200
03F818,2017-08-12 00:41:00+03,70700
03F84A,2017-08-04 05:56:00+03,62600
03F855,2017-07-26 11:41:00+03,67400
03F896,2017-08-12 03:04:00+03,12400
03F89B,2017-08-04 17:39:00+03,54000
03F8C0,2017-07-19 14:21:00+03,13400
03F8F8,2017-08-07 01:35:00+03,117200
03F8F9,2017-07-16 10:46:00+03,93900
03F933,2017-07-23 23:59:00+03,81500
03F965,2017-07-26 22:02:00+03,6300
03F981,2017-07-16 20:58:00+03,139500
03F9F2,2017-07-15 06:51:00+03,15800
03FA0B,2017-07-08 04:44:00+03,26000
03FA43,2017-08-05 06:17:00+03,40400
03FA64,2017-07-15 00:25:00+03,13400
03FA7A,2017-08-09 07:07:00+03,32800
03FACF,2017-08-13 14:16:00+03,25100
03FB11,2017-07-16 07:41:00+03,35800
03FB19,2017-07-14 21:14:00+03,131600
03FB74,2017-07-19 23:18:00+03,28000
03FB96,2017-08-04 21:31:00+03,127300
03FBA8,2017-07-20 19:52:00+03,32800
03FBB4,2017-07-10 03:38:00+03,51900
03FC22,2017-07-31 15:35:00+03,12600
03FC4C,2017-07-13 17:38:00+03,289800
03FC57,2017-07-08 07:25:00+03,44300
03FC92,2017-08-02 23:20:00+03,46400
03FD0B,2017-06-29 08:25:00+03,15800
03FD3D,2017-07-28 16:15:00+03,122300
03FD91,2017-08-15 15:31:00+03,32800
03FD9C,2017-08-15 12:48:00+03,65500
03FDD3,2017-07-08 00:20:00+03,48800
03FE47,2017-07-16 22:32:00+03,166500
03FE57,2017-07-21 08:25:00+03,155600
03FE9D,2017-08-11 01:21:00+03,51400
3-ก.พ.-01,2017-07-23 08:41:00+03,24400
03FEC7,2017-08-14 20:54:00+03,192400
03FF09,2017-08-08 14:47:00+03,47600
03FF0D,2017-07-31 01:17:00+03,50000
03FF3A,2017-06-29 06:58:00+03,6000
03FF70,2017-07-07 20:22:00+03,47400
03FF88,2017-07-05 14:12:00+03,22000
03FF8D,2017-07-23 08:52:00+03,67400
03FFC2,2017-07-17 17:35:00+03,68800
04000A,2017-07-09 01:45:00+03,172100
04002B,2017-08-13 19:23:00+03,14000
40034,2017-07-19 22:23:00+03,119600
4.00E+07,2017-08-10 07:29:00+03,129500
0400F1,2017-07-02 04:23:00+03,29600
40104,2017-08-11 19:59:00+03,25200
40139,2017-07-16 16:54:00+03,114400
40162,2017-08-14 01:53:00+03,131100
4.02E+04,2017-07-27 16:55:00+03,119500
0402ED,2017-08-15 17:04:00+03,18600
40310,2017-07-14 05:17:00+03,52800
40346,2017-07-04 12:56:00+03,47400
40405,2017-07-17 19:51:00+03,26200
40411,2017-07-15 15:04:00+03,24400
04046D,2017-07-23 19:08:00+03,26200
40499,2017-07-16 14:53:00+03,30700
04049A,2017-07-27 23:32:00+03,132000
0404F8,2017-06-30 03:30:00+03,58800
40535,2017-08-03 13:47:00+03,23100
40547,2017-07-08 13:30:00+03,21400
40559,2017-07-26 00:08:00+03,38800
04058A,2017-07-07 20:31:00+03,78200
40615,2017-08-13 21:23:00+03,62100
04061C,2017-07-09 00:40:00+03,52100
40675,2017-07-22 04:12:00+03,38600
0406BA,2017-07-21 03:54:00+03,6700
0406D4,2017-08-02 21:11:00+03,75600
0406EF,2017-07-04 16:43:00+03,233000
0406F0,2017-08-07 00:54:00+03,131100
40781,2017-07-15 09:22:00+03,38100
40786,2017-07-23 11:01:00+03,51600
40805,2017-08-05 13:45:00+03,38400
04081F,2017-08-10 22:29:00+03,62900
40865,2017-08-06 20:32:00+03,78200
40885,2017-08-08 23:03:00+03,47100
0408C1,2017-07-25 12:26:00+03,58600
0408CA,2017-07-06 04:32:00+03,29400
40951,2017-07-31 04:49:00+03,38800
0409B5,2017-08-15 13:58:00+03,46300
0409C4,2017-07-14 20:37:00+03,26800
040AB2,2017-07-22 07:29:00+03,21400
040AB6,2017-07-25 23:06:00+03,32700
040B4B,2017-07-28 19:15:00+03,55800
040B5D,2017-08-10 08:10:00+03,9200
040B6A,2017-07-29 11:48:00+03,101200
040B6C,2017-08-06 16:41:00+03,53500
040B7F,2017-07-19 12:19:00+03,132800
040BAE,2017-08-06 04:36:00+03,67400
040C55,2017-07-18 18:39:00+03,36200
040C56,2017-08-02 17:59:00+03,23200
040C69,2017-08-11 01:34:00+03,12400
040CE5,2017-07-18 00:26:00+03,10600
040CEF,2017-08-15 11:06:00+03,147400
040DAF,2017-07-07 23:52:00+03,47200
040DEB,2017-08-15 08:10:00+03,77900
4.00E+24,2017-07-23 15:45:00+03,64400
4.00E+53,2017-08-12 07:33:00+03,26800
4.00E+86,2017-07-27 04:09:00+03,94800
040EE5,2017-07-11 17:03:00+03,105000
040F26,2017-08-11 07:31:00+03,46200
040F27,2017-08-09 01:54:00+03,102100
040F91,2017-07-09 17:42:00+03,72000
040F92,2017-07-06 06:04:00+03,76700
04101A,2017-07-14 01:12:00+03,55800
04102C,2017-07-26 05:42:00+03,26000
0410AC,2017-07-28 12:14:00+03,66600
0410C9,2017-08-04 13:50:00+03,13800
41127,2017-08-05 05:16:00+03,24400
04117B,2017-07-30 08:44:00+03,273400
4.11E+11,2017-08-14 07:46:00+03,105600
0412F7,2017-07-23 09:35:00+03,133200
04131A,2017-08-15 02:43:00+03,25200
0413D8,2017-07-21 17:06:00+03,12000
41452,2017-08-12 11:29:00+03,36200
04147A,2017-08-14 17:15:00+03,14400
0414D9,2017-08-09 07:29:00+03,45100
04150F,2017-07-19 22:51:00+03,19600
41521,2017-07-21 21:55:00+03,23200
04154A,2017-07-11 23:28:00+03,191200
41587,2017-08-14 04:11:00+03,70900
0415B3,2017-07-23 15:01:00+03,56600
0415B6,2017-07-26 22:29:00+03,28800
04167A,2017-08-08 01:06:00+03,17200
41697,2017-07-22 08:08:00+03,6000
41698,2017-07-16 00:04:00+03,64600
0416C6,2017-07-11 06:28:00+03,36800
0416F9,2017-08-09 01:03:00+03,32700
41718,2017-07-06 21:15:00+03,42000
0417EC,2017-08-15 08:50:00+03,66800
0417ED,2017-07-07 17:22:00+03,26000
0419CA,2017-07-17 00:43:00+03,94000
041A14,2017-07-22 01:20:00+03,12000
041A53,2017-07-11 04:42:00+03,75200
041A89,2017-08-14 03:15:00+03,51800
041AA9,2017-07-13 00:19:00+03,75300
041AAA,2017-08-10 09:49:00+03,24800
041AD8,2017-08-04 23:36:00+03,40000
041B10,2017-07-09 22:40:00+03,13600
041B2E,2017-08-14 06:04:00+03,22600
041B49,2017-08-04 22:23:00+03,78200
041B68,2017-08-02 16:46:00+03,57600
041B6C,2017-08-09 19:28:00+03,12200
041B89,2017-08-05 05:20:00+03,83000
041B94,2017-07-26 01:31:00+03,81600
041BF7,2017-08-14 06:06:00+03,46200
041C3B,2017-07-24 07:36:00+03,26800
041C71,2017-08-15 02:29:00+03,21900
041CF8,2017-07-08 13:13:00+03,24400
041D0B,2017-07-03 16:07:00+03,293100
041D21,2017-07-10 03:19:00+03,73100
041D26,2017-07-04 03:13:00+03,43200
041D55,2017-07-13 21:51:00+03,23200
041D62,2017-07-03 21:05:00+03,92600
041D8A,2017-07-01 11:02:00+03,166100
041E4D,2017-07-10 03:39:00+03,86600
041EA6,2017-08-08 03:43:00+03,60600
041EC0,2017-08-11 20:52:00+03,30100
041EED,2017-08-15 06:28:00+03,249300
041F00,2017-08-11 05:38:00+03,83300
041F37,2017-08-13 02:19:00+03,160300
0420D2,2017-07-08 02:23:00+03,55800
0420F0,2017-07-07 01:58:00+03,67700
42183,2017-08-15 15:50:00+03,120700
04219C,2017-07-26 00:51:00+03,10800
0421D0,2017-07-02 14:04:00+03,28000
0421D3,2017-07-18 01:14:00+03,81500
4.21E+11,2017-07-23 14:40:00+03,67600
42223,2017-08-10 10:42:00+03,124300
42230,2017-08-10 17:30:00+03,96800
42259,2017-07-09 14:39:00+03,132800
42291,2017-07-15 08:24:00+03,289500
04229A,2017-08-02 16:54:00+03,92600
0422A8,2017-08-11 13:43:00+03,59800
0422C5,2017-08-04 09:53:00+03,44700
0422CF,2017-07-29 08:00:00+03,26700
42356,2017-07-13 00:56:00+03,6700
0423A1,2017-07-17 18:29:00+03,36400
0423F0,2017-07-25 04:21:00+03,155600
0423F4,2017-07-05 17:28:00+03,62600
42460,2017-06-28 03:27:00+03,145800
42472,2017-07-10 17:36:00+03,85000
0424CE,2017-06-30 07:36:00+03,26000
0424FA,2017-07-23 22:28:00+03,272400
42524,2017-07-14 05:50:00+03,12600
42534,2017-07-28 09:01:00+03,161200
42572,2017-08-06 12:56:00+03,55800
42573,2017-07-09 08:18:00+03,93900
0425FC,2017-07-21 04:38:00+03,115900
42609,2017-07-08 01:24:00+03,142400
42614,2017-08-12 15:15:00+03,52700
42618,2017-07-10 14:19:00+03,131600
04263C,2017-08-12 22:39:00+03,48300
42707,2017-08-03 05:49:00+03,55800
42715,2017-07-25 05:41:00+03,147500
42740,2017-08-01 07:38:00+03,109200
04274C,2017-07-15 05:46:00+03,73600
42775,2017-07-11 19:58:00+03,18600
04277E,2017-07-17 01:19:00+03,48800
0427A6,2017-08-02 06:16:00+03,271200
0427B7,2017-07-06 12:27:00+03,162500
0427D4,2017-08-08 14:38:00+03,13300
42813,2017-08-01 19:11:00+03,131100
42816,2017-07-13 02:54:00+03,26700
04281D,2017-07-23 06:46:00+03,124200
42837,2017-07-17 13:57:00+03,60600
04283B,2017-07-31 16:38:00+03,147100
42841,2017-08-15 02:09:00+03,61800
04285D,2017-08-10 21:10:00+03,23400
04286A,2017-08-06 06:08:00+03,8000
04289A,2017-07-20 18:05:00+03,6600
0428DD,2017-07-08 13:04:00+03,56000
42903,2017-07-27 10:02:00+03,131600
04290E,2017-07-12 09:15:00+03,332300
042A43,2017-07-30 19:07:00+03,21200
042A4F,2017-07-06 08:16:00+03,58200
042A79,2017-08-12 03:03:00+03,40800
042A92,2017-07-26 05:03:00+03,6800
042A93,2017-07-08 20:16:00+03,36200
042B06,2017-07-09 15:15:00+03,148200
042B22,2017-07-27 09:51:00+03,52900
042B2D,2017-08-03 17:55:00+03,21400
042B6F,2017-07-25 00:09:00+03,94700
042BB9,2017-08-02 10:39:00+03,246000
042BD9,2017-07-03 12:24:00+03,42800
042BEC,2017-07-05 22:14:00+03,32800
042C2A,2017-08-01 07:48:00+03,47800
042C2C,2017-07-06 21:03:00+03,6700
042C39,2017-08-14 17:21:00+03,46400
042C82,2017-08-15 10:26:00+03,68400
042CB0,2017-07-22 23:44:00+03,88100
042CDC,2017-08-10 08:44:00+03,193700
042D0D,2017-07-30 09:20:00+03,72700
042D5A,2017-07-25 09:26:00+03,48800
042D5F,2017-08-03 22:57:00+03,38400
042D78,2017-07-15 02:44:00+03,57400
042D9D,2017-07-30 20:41:00+03,55800
042DFF,2017-08-03 14:30:00+03,155600
4.20E+25,2017-07-16 13:23:00+03,59200
042E2D,2017-08-06 18:05:00+03,129600
042E7A,2017-07-10 15:08:00+03,135400
4.20E+89,2017-07-21 14:23:00+03,13400
042EC2,2017-07-07 19:00:00+03,26000
042ECE,2017-07-29 01:40:00+03,97900
042F46,2017-07-03 16:22:00+03,34000
042F4D,2017-07-22 09:26:00+03,63300
43012,2017-07-29 01:35:00+03,113600
43013,2017-07-14 09:49:00+03,13600
43066,2017-07-24 19:46:00+03,49200
04308C,2017-08-08 13:33:00+03,175200
0430AE,2017-07-10 20:11:00+03,21400
0430CD,2017-08-01 09:49:00+03,6000
0430D4,2017-08-08 19:11:00+03,84000
0430DF,2017-07-30 21:26:00+03,132800
43115,2017-07-17 18:45:00+03,83200
04311E,2017-07-03 06:33:00+03,56600
0431C6,2017-08-05 05:05:00+03,134400
0431F6,2017-07-14 05:50:00+03,47100
43216,2017-07-22 01:54:00+03,59800
4.32E+09,2017-08-11 04:18:00+03,12600
43317,2017-08-05 23:59:00+03,37900
0433AD,2017-07-01 13:25:00+03,52400
0433C2,2017-07-01 01:19:00+03,202800
04341E,2017-07-03 09:45:00+03,270700
04347A,2017-07-11 14:21:00+03,20400
43481,2017-07-06 10:00:00+03,46000
43486,2017-07-16 13:25:00+03,278500
43533,2017-08-05 07:07:00+03,28700
04353C,2017-07-04 14:01:00+03,54800
43551,2017-08-14 12:18:00+03,68800
04366C,2017-07-17 02:01:00+03,14600
43681,2017-08-08 10:01:00+03,83300
0436AB,2017-07-12 16:58:00+03,57600
43778,2017-07-13 18:33:00+03,55800
04377B,2017-07-25 13:40:00+03,78800
04377F,2017-07-31 14:12:00+03,52000
04378A,2017-07-31 05:40:00+03,96300
04379C,2017-08-10 11:51:00+03,8400
0437A8,2017-07-08 18:22:00+03,111700
0437BD,2017-07-20 06:37:00+03,46000
0437BE,2017-08-04 18:28:00+03,16000
0439B8,2017-07-07 15:19:00+03,18000
0439BF,2017-07-30 03:32:00+03,16800
0439C4,2017-07-24 16:50:00+03,21200
0439C8,2017-07-08 02:03:00+03,21200
0439CB,2017-07-07 19:43:00+03,40000
0439EB,2017-08-01 07:55:00+03,386300
043A27,2017-07-25 00:09:00+03,103800
043A75,2017-07-16 12:28:00+03,52700
043ABC,2017-08-13 10:46:00+03,31200
043B8D,2017-07-24 04:26:00+03,34000
043BC9,2017-08-01 01:25:00+03,101200
043BE6,2017-07-11 00:04:00+03,32700
043C4A,2017-07-13 09:45:00+03,112600
043C65,2017-08-09 20:08:00+03,26600
043C72,2017-07-07 07:37:00+03,138000
043CEA,2017-08-01 14:40:00+03,136100
043D2D,2017-07-07 07:42:00+03,58200
043DC3,2017-08-02 06:33:00+03,13600
4.30E+04,2017-07-04 20:21:00+03,28800
4.30E+18,2017-07-09 10:34:00+03,28400
043E4C,2017-07-13 04:55:00+03,139100
4.30E+82,2017-08-05 06:37:00+03,6800
043EB1,2017-07-10 12:21:00+03,10600
043F41,2017-06-28 00:49:00+03,252200
043F79,2017-07-22 22:37:00+03,12600
043FB8,2017-07-28 04:08:00+03,26000
44009,2017-07-02 08:18:00+03,170000
04400E,2017-08-09 17:30:00+03,57400
04402F,2017-07-16 01:19:00+03,48800
44035,2017-07-12 18:15:00+03,53600
44065,2017-08-08 09:47:00+03,6300
04419B,2017-07-29 14:52:00+03,56000
4.41E+05,2017-08-06 15:42:00+03,32200
0441FD,2017-08-03 14:06:00+03,59800
0441FE,2017-07-09 03:45:00+03,65500
04421C,2017-07-22 21:52:00+03,123000
0442FA,2017-08-01 14:23:00+03,258400
44310,2017-07-06 17:36:00+03,6000
44397,2017-07-31 01:15:00+03,56000
0443B0,2017-08-14 07:47:00+03,29800
0443D9,2017-07-07 22:22:00+03,68100
44420,2017-07-13 18:19:00+03,78800
44426,2017-07-12 23:28:00+03,28800
44428,2017-08-02 23:24:00+03,68400
04449C,2017-07-09 03:26:00+03,130400
04452D,2017-07-07 17:23:00+03,92000
44561,2017-08-08 06:45:00+03,40000
44582,2017-07-19 13:10:00+03,64500
0445A4,2017-08-04 22:22:00+03,328400
4.45E+02,2017-08-04 02:52:00+03,92600
04460F,2017-08-14 18:36:00+03,115000
44616,2017-07-30 17:06:00+03,100600
44697,2017-08-05 11:35:00+03,62900
0446D9,2017-07-04 03:58:00+03,63700
04474F,2017-07-15 18:34:00+03,83600
44758,2017-08-08 09:16:00+03,33100
0447CF,2017-07-15 14:37:00+03,132800
04489B,2017-08-02 13:56:00+03,43100
44905,2017-07-20 15:57:00+03,66000
44915,2017-07-27 14:59:00+03,85000
04494D,2017-08-14 09:37:00+03,24600
44965,2017-07-22 06:56:00+03,23200
0449F1,2017-07-29 01:01:00+03,28700
0449F9,2017-07-18 04:12:00+03,135600
044A24,2017-07-07 03:54:00+03,54800
044AC2,2017-07-12 14:22:00+03,36000
044AC4,2017-07-28 22:02:00+03,72300
044ADD,2017-07-17 18:52:00+03,440700
044B18,2017-07-26 11:35:00+03,67600
044B99,2017-08-04 11:18:00+03,118500
044BB8,2017-08-12 20:53:00+03,15800
044BC0,2017-08-12 06:26:00+03,126400
044BC9,2017-07-07 19:16:00+03,149600
044BCA,2017-07-14 20:46:00+03,6600
044BF9,2017-08-07 10:20:00+03,16800
044BFA,2017-07-17 16:54:00+03,70700
044C2A,2017-08-12 01:00:00+03,25100
044C2E,2017-07-30 04:06:00+03,47100
044CAB,2017-07-14 07:15:00+03,73600
044CE5,2017-07-11 06:50:00+03,47500
044D0B,2017-08-13 23:06:00+03,67800
044D1C,2017-07-31 16:41:00+03,48300
044DB9,2017-07-28 15:31:00+03,13000
044DEF,2017-08-11 18:46:00+03,23600
4.40E+06,2017-07-25 15:40:00+03,123000
4.40E+41,2017-07-08 12:26:00+03,39300
4.40E+66,2017-06-30 23:18:00+03,131600
044E6E,2017-07-31 16:14:00+03,282100
4.40E+98,2017-08-01 14:22:00+03,34000
044F0B,2017-08-10 21:22:00+03,78000
044F3E,2017-07-17 18:33:00+03,112000
044F42,2017-08-14 22:32:00+03,104200
044F5C,2017-06-28 22:02:00+03,57500
044FB3,2017-07-27 15:29:00+03,121400
044FD8,2017-07-08 10:47:00+03,26000
45005,2017-08-02 21:15:00+03,46300
45056,2017-08-01 17:10:00+03,55800
45073,2017-07-27 10:59:00+03,56200
45101,2017-07-18 02:36:00+03,16400
45161,2017-07-19 19:05:00+03,147200
45178,2017-07-17 15:58:00+03,31400
45182,2017-08-13 16:55:00+03,64400
0451D9,2017-08-15 10:51:00+03,200800
45214,2017-07-05 00:40:00+03,6000
45215,2017-08-14 01:14:00+03,43200
04524E,2017-07-21 18:20:00+03,23600
45282,2017-07-23 16:34:00+03,54500
45286,2017-08-11 11:48:00+03,80000
0452AF,2017-07-22 21:29:00+03,88400
0452D4,2017-07-20 17:45:00+03,119600
0452DC,2017-07-11 14:42:00+03,99200
0452FC,2017-08-06 20:10:00+03,67600
45313,2017-07-02 19:36:00+03,28000
04534B,2017-07-09 00:36:00+03,99200
0453B5,2017-08-08 15:18:00+03,96300
45428,2017-07-27 09:57:00+03,36000
0454A5,2017-07-15 07:28:00+03,12600
45553,2017-07-15 05:54:00+03,16800
45579,2017-07-13 19:46:00+03,94000
0455B7,2017-07-29 06:30:00+03,23200
0456BC,2017-08-11 15:52:00+03,98400
0456D6,2017-06-27 01:08:00+03,39200
04577A,2017-07-18 20:59:00+03,71800
04578F,2017-07-17 18:08:00+03,37200
0457AD,2017-07-27 11:38:00+03,31600
0457C5,2017-07-05 12:43:00+03,121800
04581B,2017-07-07 18:52:00+03,34000
04589B,2017-07-05 12:25:00+03,53700
04589D,2017-08-08 05:14:00+03,12400
0458B0,2017-07-28 03:43:00+03,56600
0458CC,2017-07-31 12:52:00+03,28800
0458D4,2017-08-15 09:40:00+03,28300
45954,2017-07-16 18:04:00+03,29600
0459F9,2017-07-08 19:02:00+03,14000
045A14,2017-07-05 10:06:00+03,38600
045A32,2017-07-26 00:46:00+03,36200
045AF1,2017-07-07 04:14:00+03,232100
045AF2,2017-08-01 15:16:00+03,147700
045B1F,2017-07-01 04:58:00+03,198300
045BDF,2017-07-27 07:57:00+03,8200
045C06,2017-07-26 04:55:00+03,28200
045C84,2017-07-10 02:04:00+03,138100
045C9B,2017-07-25 20:51:00+03,39500
045CBF,2017-08-10 06:38:00+03,32700
045D3A,2017-07-23 01:54:00+03,13200
045D86,2017-07-05 13:18:00+03,26000
045DC1,2017-08-11 00:54:00+03,124300
045DCB,2017-08-11 00:41:00+03,41200
045DEC,2017-07-23 07:49:00+03,43600
4.50E+58,2017-08-09 15:43:00+03,62600
4.50E+80,2017-07-15 22:28:00+03,16400
045F00,2017-07-03 03:32:00+03,48800
045F18,2017-07-22 18:33:00+03,68100
045F41,2017-08-07 11:21:00+03,124300
045F8F,2017-07-29 01:12:00+03,22600
045FB1,2017-07-23 15:20:00+03,57400
045FB8,2017-08-04 12:09:00+03,14400
045FDB,2017-07-30 06:33:00+03,117200
045FF7,2017-07-16 21:28:00+03,39200
46012,2017-08-01 21:06:00+03,69000
46023,2017-07-26 08:52:00+03,56700
0460B9,2017-08-09 19:47:00+03,67000
46123,2017-07-10 06:29:00+03,58600
46150,2017-08-02 08:13:00+03,25400
0461C4,2017-07-31 14:06:00+03,15900
46242,2017-08-02 21:24:00+03,40200
46274,2017-07-22 01:19:00+03,123000
46279,2017-08-13 22:22:00+03,84500
46299,2017-07-08 17:17:00+03,193500
0462C4,2017-08-14 20:48:00+03,26000
0462EF,2017-08-11 03:02:00+03,149300
04632B,2017-07-30 23:10:00+03,111600
46391,2017-08-06 01:52:00+03,12600
0463BC,2017-07-20 12:48:00+03,46200
0463C8,2017-08-02 00:07:00+03,128800
46440,2017-07-05 17:07:00+03,59800
46449,2017-07-28 13:21:00+03,67200
04652D,2017-07-14 08:49:00+03,28000
46558,2017-08-12 22:13:00+03,207600
46587,2017-07-12 14:57:00+03,21800
0465CF,2017-07-07 15:36:00+03,24500
46628,2017-07-11 04:07:00+03,56000
46647,2017-08-14 06:34:00+03,49100
46674,2017-07-07 13:38:00+03,55800
04669C,2017-08-13 22:13:00+03,11800
4.66E+08,2017-07-21 07:48:00+03,23200
4.67E+08,2017-07-04 14:53:00+03,99700
0467EE,2017-07-24 21:48:00+03,61600
46807,2017-07-07 14:37:00+03,128400
46843,2017-07-09 02:58:00+03,49200
04684D,2017-07-29 20:11:00+03,48500
46862,2017-07-20 00:56:00+03,152500
46866,2017-07-21 11:37:00+03,23200
04687E,2017-07-10 22:05:00+03,58400
0468C0,2017-07-17 01:44:00+03,52300
46949,2017-08-07 14:26:00+03,6700
04699E,2017-07-11 22:52:00+03,49900
4.69E+10,2017-07-05 13:47:00+03,43200
046A41,2017-08-07 23:29:00+03,91500
046AFD,2017-07-11 15:32:00+03,122800
046B30,2017-08-13 13:51:00+03,75600
046B3A,2017-07-11 08:40:00+03,35600
046B70,2017-07-11 10:56:00+03,104600
046BB5,2017-07-08 23:07:00+03,75600
046BE0,2017-08-02 20:56:00+03,258400
046C36,2017-07-22 00:09:00+03,44800
046C4A,2017-08-08 07:50:00+03,115600
046C62,2017-07-13 08:33:00+03,32700
046C94,2017-08-13 19:24:00+03,60200
046D08,2017-07-22 20:25:00+03,21400
046D73,2017-06-30 16:23:00+03,177200
046DB2,2017-08-08 02:51:00+03,9800
4.60E+12,2017-07-05 10:16:00+03,405000
046E2A,2017-08-04 23:33:00+03,37200
4.60E+32,2017-07-19 20:55:00+03,131600
4.60E+47,2017-08-04 14:17:00+03,28800
046EAC,2017-08-06 09:10:00+03,114700
046EC4,2017-07-14 13:06:00+03,64400
046F48,2017-07-04 00:25:00+03,57500
046FC3,2017-07-24 16:13:00+03,6800
046FD4,2017-07-13 16:22:00+03,53300
046FE8,2017-08-14 14:32:00+03,46400
04701A,2017-08-06 04:22:00+03,105900
47037,2017-07-24 07:11:00+03,116800
04703D,2017-07-02 01:15:00+03,13400
47047,2017-07-17 06:41:00+03,67400
47071,2017-07-05 16:36:00+03,62600
4.70E+08,2017-07-29 13:26:00+03,8200
47139,2017-07-25 11:19:00+03,56000
0471DA,2017-07-09 21:08:00+03,117000
47215,2017-07-19 15:14:00+03,88300
04723B,2017-08-15 13:39:00+03,228600
04726B,2017-07-08 04:38:00+03,84100
47344,2017-07-16 01:31:00+03,15400
47367,2017-07-13 15:41:00+03,49700
47392,2017-07-23 00:24:00+03,92000
